GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2022-23,53,13.9,0.597,0.209,111.7,112.5,110.1,109.7,1.7,2.8,0.13,0.019,0.086,0.054,11.5,11.5,0.519,102.99,102.82,0.088,1628410,2022
2017-18,18,6.0,0.366,0.132,91.6,95.4,100.0,102.5,-8.4,-7.1,0.167,0.034,0.067,0.049,19.1,19.2,0.273,101.43,98.16,0.006,1628443,2017
2018-19,19,21.9,0.574,0.195,107.1,108.2,111.4,111.8,-4.3,-3.7,0.277,0.019,0.1,0.06,9.8,9.7,0.521,100.38,99.71,0.101,1628443,2018
2019-20,10,11.7,0.512,0.191,106.3,106.6,116.4,117.4,-10.1,-10.8,0.259,0.016,0.065,0.038,10.5,10.3,0.489,103.34,102.79,0.087,1628443,2019
2017-18,20,11.2,0.523,0.151,108.9,107.6,101.7,106.6,7.3,1.0,0.073,0.032,0.12,0.076,4.3,4.2,0.5,102.68,100.94,0.071,1628409,2017
2019-20,10,5.0,0.415,0.161,99.1,101.4,94.5,100.0,4.5,1.5,0.158,0.037,0.07,0.054,11.5,11.6,0.375,105.05,100.96,0.049,1628430,2019
2017-18,13,8.8,0.615,0.141,108.7,113.3,102.1,102.3,6.6,11.0,0.099,0.055,0.105,0.081,17.0,16.8,0.635,100.58,98.41,0.076,1628444,2017
2023-24,42,12.2,0.569,0.171,113.9,113.4,112.6,113.7,1.3,-0.3,0.051,0.058,0.129,0.093,5.3,5.2,0.558,102.51,102.22,0.084,1628426,2023
2018-19,27,16.3,0.51,0.12,103.7,105.2,109.6,109.4,-6.0,-4.3,0.043,0.055,0.162,0.107,8.1,8.1,0.491,98.26,97.63,0.078,1628417,2018
2018-19,71,30.7,0.608,0.21,105.2,104.6,113.3,112.5,-8.1,-8.0,0.094,0.101,0.24,0.169,10.5,10.5,0.585,101.34,102.01,0.139,1629028,2018
2019-20,38,32.5,0.568,0.231,112.5,111.5,108.5,106.7,4.0,4.8,0.091,0.12,0.225,0.174,10.6,10.5,0.548,101.95,103.27,0.137,1629028,2019
2020-21,69,30.6,0.653,0.179,117.1,116.3,110.8,110.3,6.3,6.0,0.066,0.117,0.236,0.179,10.7,10.7,0.629,98.05,98.6,0.13,1629028,2020
2021-22,58,29.5,0.656,0.217,117.2,116.8,107.7,105.7,9.6,11.1,0.071,0.093,0.241,0.172,9.7,9.7,0.639,100.62,101.73,0.148,1629028,2021
2022-23,67,30.4,0.617,0.231,113.2,111.5,113.2,112.2,0.0,-0.6,0.09,0.084,0.247,0.164,9.9,9.9,0.592,98.63,99.81,0.145,1629028,2022
2018-19,62,25.3,0.562,0.237,107.8,107.4,111.0,110.2,-3.2,-2.8,0.06,0.092,0.18,0.136,9.9,10.0,0.525,104.19,104.74,0.124,1628963,2018
2019-20,13,25.7,0.512,0.248,102.0,101.1,114.6,115.3,-12.6,-14.2,0.05,0.082,0.201,0.14,8.7,8.6,0.479,101.48,101.6,0.097,1628963,2019
2020-21,43,25.9,0.554,0.229,112.8,112.2,116.5,115.0,-3.7,-2.7,0.057,0.092,0.188,0.14,9.0,9.1,0.542,101.26,102.17,0.099,1628963,2020
2021-22,18,27.2,0.585,0.209,105.2,103.7,113.7,112.3,-8.5,-8.6,0.067,0.074,0.172,0.122,6.9,6.9,0.575,97.81,99.14,0.119,1628963,2021
2018-19,72,32.2,0.545,0.296,107.6,106.8,110.6,110.0,-3.1,-3.2,0.317,0.036,0.198,0.117,11.9,11.9,0.497,100.99,101.64,0.149,1629029,2018
2019-20,61,33.6,0.585,0.355,116.7,115.3,111.4,110.7,5.3,4.6,0.454,0.036,0.224,0.132,11.4,11.3,0.531,101.24,102.2,0.194,1629029,2019
2020-21,66,34.3,0.587,0.35,116.6,115.8,112.7,111.9,3.9,3.8,0.425,0.024,0.202,0.115,11.7,11.7,0.55,99.4,100.07,0.179,1629029,2020
2021-22,65,35.4,0.571,0.368,113.8,112.8,110.3,108.6,3.5,4.1,0.458,0.025,0.23,0.129,11.8,11.8,0.529,96.18,97.37,0.191,1629029,2021
2022-23,66,36.2,0.609,0.368,118.1,116.7,116.0,114.5,2.1,2.2,0.408,0.024,0.224,0.124,9.4,9.4,0.56,97.63,98.8,0.202,1629029,2022
2018-19,58,26.1,0.591,0.231,101.3,100.7,103.6,103.2,-2.3,-2.5,0.074,0.049,0.132,0.09,11.7,11.7,0.549,96.48,97.0,0.1,1628991,2018
2019-20,57,28.5,0.593,0.238,108.3,106.8,110.9,109.4,-2.6,-2.6,0.073,0.033,0.12,0.077,9.8,9.8,0.565,104.4,105.87,0.089,1628991,2019
2020-21,11,23.5,0.551,0.252,107.6,106.0,118.0,118.1,-10.5,-12.1,0.074,0.06,0.164,0.112,8.8,8.8,0.492,101.41,102.09,0.097,1628991,2020
2021-22,78,27.3,0.535,0.248,113.9,112.6,106.0,105.7,7.9,6.9,0.058,0.05,0.145,0.097,9.3,9.3,0.477,101.97,102.74,0.096,1628991,2021
2022-23,63,28.4,0.613,0.243,116.4,115.8,106.6,105.3,9.8,10.4,0.048,0.058,0.159,0.11,9.5,9.5,0.567,103.3,104.2,0.125,1628991,2022
2018-19,81,30.9,0.539,0.277,108.5,107.5,114.8,113.9,-6.3,-6.4,0.39,0.024,0.091,0.057,12.9,12.8,0.48,105.78,106.67,0.119,1629027,2018
